Age,Study_Hours,Attendance,Internal_Marks,Result
23,1.3,72.0,31,Pass
19,1.5,61.0,40,Fail
18,4.9,57.0,56,Fail
18,2.1,87.0,56,Pass
18,4.7,100.0,87,Pass
23,4.6,69.0,70,Pass
22,2.6,55.0,37,Fail
23,3.7,72.0,52,Pass
19,7.7,76.0,92,Pass
18,3.3,77.0,57,Pass
22,2.5,57.0,46,Pass
22,1.4,79.0,30,Fail
22,2.7,95.0,64,Pass
24,3.2,67.0,44,Fail
18,5.5,73.0,68,Pass
24,2.2,,42,Fail
20,3.9,78.0,57,Pass
20,3.2,97.0,59,Pass
23,7.5,96.0,95,Pass
22,5.3,89.0,76,Pass
19,4.0,,71,Pass
23,4.7,98.0,76,Pass
24,6.3,58.0,77,Pass
24,0.7,75.0,31,Fail
20,1.0,91.0,37,Fail
19,5.4,,88,Pass
21,1.6,63.0,31,Fail
23,4.7,71.0,76,Pass
21,7.2,80.0,95,Pass
19,8.0,63.0,95,Fail
21,1.2,58.0,30,Fail
19,5.2,98.0,84,Pass
22,1.0,79.0,42,Fail
21,4.5,90.0,62,Pass
23,5.9,98.0,95,Pass
24,2.5,96.0,53,Pass
18,2.7,65.0,50,Pass
18,,71.0,95,Pass
24,1.8,61.0,46,Fail
20,6.8,87.0,95,Fail
19,1.6,65.0,42,Fail
24,7.4,55.0,95,Fail
20,4.2,62.0,61,Fail
24,6.6,70.0,78,Pass
19,7.1,60.0,81,Pass
23,4.1,59.0,65,Pass
24,1.4,97.0,48,Fail
22,1.7,88.0,52,Pass
21,7.7,89.0,95,Pass
23,2.8,97.0,67,Pass
20,3.8,88.0,68,Pass
18,2.4,59.0,41,Fail
18,4.9,69.0,77,Pass
19,0.6,100.0,46,Pass
18,,57.0,39,Fail
18,4.4,72.0,70,Pass
19,4.5,91.0,80,Pass
21,2.3,85.0,51,Pass
19,1.2,97.0,44,Fail
20,3.7,84.0,53,Pass
23,5.4,96.0,75,Pass
18,3.5,76.0,50,Pass
19,1.9,89.0,49,Fail
19,3.7,72.0,62,Pass
19,7.1,59.0,92,Fail
24,,90.0,90,Pass
18,5.4,89.0,70,Pass
18,7.4,70.0,90,Pass
21,4.1,68.0,63,Pass
18,1.7,55.0,35,Fail
20,7.4,84.0,95,Fail
21,5.7,90.0,89,Pass
19,1.9,68.0,30,Fail
22,6.0,58.0,77,Fail
18,0.9,85.0,40,Fail
24,4.5,58.0,68,Fail
18,6.9,59.0,95,Fail
18,5.6,70.0,79,Pass
18,7.6,91.0,95,Pass
22,,94.0,70,Pass
21,5.4,91.0,87,Fail
20,7.5,68.0,95,Pass
19,2.5,63.0,53,Fail
20,3.9,59.0,46,Pass
21,5.2,91.0,72,Pass
18,4.5,87.0,69,Pass
19,7.5,59.0,89,Fail
20,2.6,83.0,57,Pass
23,2.8,96.0,62,Pass
18,5.5,90.0,81,Pass
23,1.3,63.0,30,Fail
18,7.2,90.0,93,Pass
20,2.6,68.0,46,Fail
19,5.7,71.0,84,Pass
21,2.4,58.0,33,Fail
23,3.7,72.0,49,Fail
18,3.0,63.0,58,Fail
20,1.7,83.0,48,Fail
23,3.7,55.0,46,Fail
18,7.6,,95,Pass
